iter	Passed	Remaining
956	472868	21246
957	473436	20756
958	474013	20265
959	474581	19774
960	475138	19282
961	475708	18790
962	476461	18306
963	477121	17817
964	477701	17325
965	478171	16830
966	478635	16334
967	479106	15838
968	479593	15343
969	480037	14846
970	480490	14350
971	480946	13854
972	481441	13359
973	481923	12864
974	482585	12373
975	483124	11880
976	483746	11388
977	484337	10895
978	484899	10401
979	485495	9908
980	486059	9413
981	486660	8920
982	487250	8426
983	487753	7930
984	488244	7435
985	488731	6939
986	489209	6443
987	489674	5947
988	490153	5451
989	490652	4956
990	491144	4460
991	491638	3964
992	492134	3469
993	492674	2973
994	493218	2478
995	493695	1982
996	494262	1487
997	494841	991
998	495397	495
999	495963	0
